snapshot_date,warehouse_code,material,material_desc,qty_total,value_total
2026-02-23,MAST,4520042,VIDEO PORTEIRO IVR 1010,47.0,8121.13
2026-02-23,MAST,4822014,NOBREAK SNB 1500VA BIVOLT,12.0,7920.72
2026-02-23,MAST,4611060,CENTRAL ALRM INCD ENDER CIE 1060,48.0,7879.68
2026-02-23,MAST,1889431,PCIM PRINCIPAL DNB 10KVA 220V,6.0,7799.77
2026-02-23,MAST,1890814,PCIM PRINCIPAL/RFID LE 170 HZ100,10.0,7715.64
2026-02-23,MAST,4811016,POWER CONV EST VIDEO BALUN VB 1016 WP,19.0,7435.08
2026-02-23,MAST,4525008,VIDEO PORTEIRO SMART IVW 3000+,33.0,7265.94
2026-02-23,MAST,4750058,ROTEADOR DIG S/ FIO 5GHZ 16DBI WOM AC,38.0,7228.74
2026-02-23,MAST,1890122,IZY PLAY STICK C/GABINETE,89.0,7094.54
2026-02-23,MAST,4550018,CERCA ELET S/BATERIA ELC 6012,84.0,7043.4
2026-02-23,MAST,4860015,BATERIA RECARG LI-ION 48V 100AH EBL 4800,2.0,6908.24
2026-02-23,MAST,4560102,MESA CONTR IP/ANL VTN 2000 G2,8.0,6897.52
2026-02-23,MAST,4565511,CAMERA VID WI-FI FHD IM5 SC,60.0,6823.2
2026-02-23,MAST,4580778,GRAVADOR DIG IMHDX 3116 AM,15.0,6772.05
2026-02-23,MAST,4760020,SWITCH 8P FAST ETHRN SF 800 Q+,263.0,6766.99
2026-02-23,MAST,4590014,CAMERA VID WI-FI IM6 FC,41.0,6699.4
2026-02-23,MAST,4610029,CENTRAL ALRM INCD END/ANALOG. MA 8000,1.0,6678.74
2026-02-23,MAST,4760107,SWITCH 24P/4P SFP S2328G PA,7.0,6641.81
2026-02-23,MAST,4521102,TELEFONE S/FIO C/RML EXT TIS 5010,43.0,6560.94
2026-02-23,MAST,4565611,CAMERA VID WI-FI FHD IM5 SC C/MSD,51.0,6532.59
2026-02-23,MAST,4550014,CERCA ELET S/BATERIA ELC 6012 NET,61.0,6413.54
2026-02-23,MAST,4760106,SWITCH 24P/4P SFP S2328G A,12.0,6299.4
2026-02-23,MAST,1870967,INVERSOR ON GRID 25KW IONS-25K T4 AFCI,1.0,6232.09
2026-02-23,MAST,1870665,INVERSOR ON GRID 25KW EGT 25000 MAX,1.0,6088.88
2026-02-23,MAST,4563145,CAMERA VID VIP 5232 SD IR IA FT,3.0,6081.69
2026-02-23,MAST,2883110,PLACA PORTL TEL TS 3110,249.0,6040.74
2026-02-23,MAST,4290057,PROJETOR FULL HD PFL5211,13.0,6004.83
2026-02-23,MAST,4590012,CAMERA VID WI-FI IM5 S 4M,42.0,5999.7
2026-02-23,MAST,4570021,CAMERA VID IP VIP 5225 SD IR IA G2,4.0,5963.8
2026-02-23,MAST,4580776,GRAVADOR DIG MHDX 1116 C,21.0,5961.06
2026-02-23,MAST,4543589,CENTRAL ALRM CONT-ROUB AMT 8000 PRO,36.0,5951.16
2026-02-23,MAST,2880595,PLACA DISPLAY P/CTIN WIFI,77.0,5835.83
2026-02-23,MAST,2881046,PLACA PRIN IVR 7 ID ME,142.0,5800.7
2026-02-23,MAST,4780070,EXTENSOR/DIV HDMI + USB VEX 30 0 KVM G2,21.0,5793.06
2026-02-23,MAST,4543516,CENTRAL ALRM S/FIO AMT 8000,28.0,5766.04
2026-02-23,MAST,4390176,CENTRAL ALRM AMT 2018 EG(IP C/GPRS),28.0,5710.04
2026-02-23,MAST,4543514,SIRENE S/FIO XSS 8000,71.0,5704.85
2026-02-23,MAST,4920463,PLACA 32 RML BAL CP 192/352,27.0,5687.82
2026-02-23,MAST,4600163,CARTAO MSD 64GB 32TBW P/SEG ELETRON,183.0,5645.55
2026-02-23,MAST,4750218,ROTEADOR 5G PRETO GX 3000 C/CHIP,6.0,5625.06
2026-02-23,MAST,4661100,CENTRAL AUTOM CP-1000,139.0,5439.07
2026-02-23,MAST,2880726,PLACA PRIN MONT FNT ININT FA1220S V2,174.0,5395.74
2026-02-23,MAST,4160027,REPETIDORA RADIO FREQUENCIA REP 25 VHF,1.0,5390.47
2026-02-23,MAST,4560054,CAMERA TV PROF VHD 3220 D FC+,71.0,5381.09
2026-02-23,MAST,4906067,INVERSOR ON GRID 20KW EGT 20000 MAX REM,1.0,5360.7
2026-02-23,MAST,4540053,SENSOR IR MICROND C/FIO IVP7000 MW EX,81.0,5337.9
2026-02-23,MAST,4750188,ROTEADOR WRS RX 3000,44.0,5333.24
2026-02-23,MAST,4580934,GRAVADOR DIG NVD 3316 P,6.0,5331.42
2026-02-23,MAST,1889003,PCIM POTENCIA GNB1500VA-PRO,42.0,5238.66
2026-02-23,MAST,4822207,NOBREAK ATTIV 1200VA-120V,19.0,5225.0
2026-02-23,MAST,4850017,INTERRUPTOR SMART 3 BR EWS 1003,134.0,5176.42
2026-02-23,MAST,1891277,PCIM PRINCIPAL XPE 3200 PLUS IP,22.0,5172.47
2026-02-23,MAST,4760021,SWITCH 24P SKD SG2404D POE MAX,6.0,5116.26
2026-02-23,MAST,4581195,GRAVADOR DIG INVD 3016 P,6.0,5082.6
2026-02-23,MAST,4750120,MODEM OPT AC WIFIBER 120 AC,37.0,4984.64
2026-02-23,MAST,4581039,GRAVADOR DIG MHDX 1104 C,33.0,4962.87
2026-02-23,MAST,1870898,INVERSOR ON GRID 12KW IONS-12K T2,1.0,4911.57
2026-02-23,MAST,4670004,FECHADURA C/MACAN IFR 3000+,9.0,4773.24
2026-02-23,MAST,4663000,AUTOMATIZADOR PORTA 2.2 BRANCO PD 300,7.0,4756.64
2026-02-23,MAST,4600164,CARTAO MSD 128GB 64TBW P/SEG ELETRON,84.0,4735.08
2026-02-23,MAST,4820100,ESTACAO RECARGA VEIC CITY - AC 11 KW,3.0,4585.56
2026-02-23,MAST,4850027,INTERRUPTOR ELET SMART WIFI PT EWS 1006,76.0,4515.92
2026-02-23,MAST,4680331,CONTROLADOR ACESSO FAC SS 5531 MF EX,9.0,4488.93
2026-02-23,MAST,4520056,INTERFACE WI-FI P/VIDEOPORTEIRO ALLO BOX,36.0,4470.48
2026-02-23,MAST,4520020,VIDEO PORTEIRO IV 4010 HS,15.0,4467.0
2026-02-23,MAST,1890953,PCIM PRINCIPAL SS 3532 MF W,112.0,4440.63
2026-02-23,MAST,4850015,INTERRUPTOR SMART 2 BR EWS 1002,80.0,4412.0
2026-02-23,MAST,4500018,VIDEO PORTEIRO EXT XPE 3200 IP FACE,7.0,4376.54
2026-02-23,MAST,4820095,"ESTACAO RECARGA VEIC CITY - AC 7,4 KW",3.0,4340.22
