snapshot_date,warehouse_code,material,material_desc,qty_total,value_total
2026-02-23,MASR,4600086,DISCO RIG 10TB WD102PURZ,1.0,1248.93
2026-02-23,MASR,4580449,GRAVADOR DIG MHDX 5216,2.0,1224.34
2026-02-23,MASR,1950432,CAMERA VID PORTL BCM 5000 DEFEN,1.0,1193.81
2026-02-23,MASR,3030307,PCIM PRINCIPAL IMHDX 3132,2.0,1169.91
2026-02-23,MASR,4820096,"ESTACAO RECARGA VEIC HOME - AC 7,4 KW",1.0,1075.69
2026-02-23,MASR,4950124,CAMERA VID IP D VIP 7550 D Z IA FT,1.0,824.14
2026-02-23,MASR,4600190,DISCO RIG 8TB WD8001PURP,1.0,815.46
2026-02-23,MASR,4301064,MICROINVERSOR 2KW 220V RGT-MI INRGTM2KX,1.0,735.97
2026-02-23,MASR,1889138,PCIM PRINCIPAL MHDX1216,5.0,394.87
2026-02-23,MASR,4811016,POWER CONV EST VIDEO BALUN VB 1016 WP,1.0,391.32
2026-02-23,MASR,4822020,NOBREAK GNB 1500VA-120V,1.0,253.96
2026-02-23,MASR,1889996,PCIM PRINCIPAL MHDX3116-C,5.0,236.41
2026-02-23,MASR,1889152,PCIM PRINCIPAL MHDX1208,6.0,212.19
2026-02-23,MASR,3030241,PCIM PRINCIPAL NVD3316P,1.0,163.03
2026-02-23,MASR,4900334,FECHADURA FD1000 REM,1.0,140.86
2026-02-23,MASR,4760130,SWITCH POE 5P 1000MBPS S1105G P,1.0,101.27
2026-02-23,MASR,3030308,PCIM PRINCIPAL IMHDX 3116,1.0,95.77
2026-02-23,MASR,4760118,SWITCH NAO GERENC POE 5 PORTAS S1105F-P,1.0,84.79
2026-02-23,MASR,1891270,PCIM PRINCIPAL MHDX 1116-C,2.0,45.28
2026-02-23,MASR,1889229,PCIM PRINCIPAL MHDX 3016-C,2.0,10.24
2026-02-23,MASR,1889622,PCIM PRINCIPAL MHDX 1004-C,1.0,8.02
2026-02-23,MASR,1887306,PCIM PRINCIPAL MHDX1108,2.0,4.06
2026-02-23,MASR,1886922,PCIM PRINCIPAL MHDX3116,3.0,3.03
2026-02-23,MASR,1889153,PCIM PRINCIPAL MHDX1204,2.0,2.0
2026-02-23,MASR,1889287,PCIM PRINCIPAL MHDX3004-C,2.0,2.0
2026-02-23,MASR,1886923,PCIM PRINCIPAL MHDX3108,1.0,1.04
2026-02-23,MASR,1885863,PCIM PRINCIPAL MHDX1016,1.0,1.0
2026-02-23,MASR,1886128,PCIM PRINCIPAL MHDX3016,1.0,1.0
2026-02-23,MASR,1886143,PCIM PRINCIPAL NVD1208,1.0,1.0
2026-02-23,MASR,1886925,PCIM PRINCIPAL MHDX1132,1.0,1.0
2026-02-23,MASR,1887429,PCIM PRINCIPAL MHDX5208,1.0,1.0
2026-02-23,MASR,4842996,INVERSOR IONS-8K M7 AFCI,1.0,1.0
2026-02-23,MASR,4842997,INVERSOR IONS-50K T4 AFCI,1.0,1.0
