snapshot_date,warehouse_code,skus_atuais,valor_total_atual,skus_nao_contados,valor_nao_contado,pct_valor_nao_contado
2026-02-23,MAST,1897,5021144.56,810,2390017.01,47.6
2026-02-23,MASR,203,6466058.58,121,3140416.71,48.57
