snapshot_date,warehouse_code,valor_total_nao_contado,valor_top_50,valor_top_100,valor_top_200,pct_valor_top_50,pct_valor_top_100,pct_valor_top_200
2026-02-23,MAST,2390017.01,1169426.7,1539897.97,1951319.85,48.93,64.43,81.64
2026-02-23,MASR,3140416.71,2970334.25,3139536.13,3140416.71,94.58,99.97,100.0
