snapshot_date,warehouse_code,material,material_desc,qty_total,value_total
2026-02-23,MAST,4590006,CAMERA VID WI-FI FHD IM5 SC BLACK,100.0,11729.0
2026-02-23,MAST,4580760,GRAVADOR DIG MHDX 1232,15.0,11712.6
2026-02-23,MAST,4140032,SMART BOX ANDROID TV IZY PLAY STICK,69.0,11347.74
2026-02-23,MAST,4565512,CAMERA VID WI-FI FHD IM3 C,126.0,11138.4
2026-02-23,MAST,4565515,CAMERA VID WI-FI FHD IMX C BLACK,112.0,11056.64
2026-02-23,MAST,4521020,PORTEIRO RESID IPR1010,156.0,10977.72
2026-02-23,MAST,4520018,VIDEO PORTEIRO C/MONOFONE IVR 4,57.0,10911.51
2026-02-23,MAST,4670017,FECHADURA S/MACAN IFR 7001 PT,21.0,10797.36
2026-02-23,MAST,4750207,ROTEADOR WI-FI SR1041E,115.0,10665.1
2026-02-23,MAST,4842787,INVERSOR CARREG SEN 4000W ICS 5002,4.0,10508.32
2026-02-23,MAST,2880494,PLACA CPU AMT 2018 E SMART,152.0,10336.0
2026-02-23,MAST,4502101,TERMINAL DEDICADO PORTEIRO TDMI 300,441.0,10310.58
2026-02-23,MAST,2880676,"PCIM BASE COLLECTIVE 4,8,12I",122.0,10245.56
2026-02-23,MAST,4822017,NOBREAK XNB 1800VA-BI+,27.0,10193.31
2026-02-23,MAST,4780188,MODEM OPTICO HG6145D2,83.0,10070.39
2026-02-23,MAST,4520054,VIDEO PORTEIRO C/MONOFONE IVR 7 ID,41.0,10068.78
2026-02-23,MAST,4520040,VIDEO PORTEIRO RESIDENCIAL IP MVW 7070+,16.0,10022.72
2026-02-23,MAST,4780040,MODEM OPTICO PON LAN 4P WIFIBER AX 1800,62.0,9782.98
2026-02-23,MAST,4660200,AUTOMATIZADOR PORTA PP 200,13.0,9679.28
2026-02-23,MAST,4560051,CAMERA TV P/SIST SEG VHL 1120 D G2,237.0,9657.75
2026-02-23,MAST,4822028,NOBREAK DNB 3KVA-120V-TW,7.0,9619.89
2026-02-23,MAST,4690010,CENTRAL AUTOMACAO SMART ICA 1001,103.0,9590.33
2026-02-23,MAST,4750147,ROTEADOR 5G PRETO CLARO MERC GX 3000,9.0,9528.57
2026-02-23,MAST,4590013,CAMERA VID WI-FI 3MP IM8,42.0,9510.48
2026-02-23,MAST,4750008,ROTEADOR /ACCESS POINT AP 310,86.0,9505.58
2026-02-23,MAST,4822202,NOBREAK ATTIV 600VA-BI,45.0,9472.95
2026-02-23,MAST,4520046,VIDEOPORTEIRO WI-FI WT7,17.0,9461.86
2026-02-23,MAST,1870903,INVERSOR ON GRID 33KW IONS-33K T4,1.0,9450.74
2026-02-23,MAST,1891018,PCIM MODULO INTERNO ALLO WT7 V2,35.0,9432.5
2026-02-23,MAST,4670027,FECHADURA P/PORTAS VIDRO MFR 4000,26.0,9322.82
2026-02-23,MAST,4520053,VIDEO PORTEIRO IVR 1070 HS,48.0,9261.6
2026-02-23,MAST,4822022,"NOBREAK DNB 1,5KVA-120V-RT",9.0,9083.07
2026-02-23,MAST,4610100,CENTRAL ALRM INCD ENDER CIE 1125,27.0,9027.72
2026-02-23,MAST,4560033,CAMERA TV VHD 1130 B G7,155.0,8997.75
2026-02-23,MAST,4680259,CONTROLADOR ACESSO SS 3532 MF W,18.0,8941.14
2026-02-23,MAST,4750131,CONJUNTO ROT TWIBI FORCE AX,36.0,8929.8
2026-02-23,MAST,4750157,ROTEADOR 5G BRANCO TIM GX 3000,9.0,8904.15
2026-02-23,MAST,1888397,PCIM PORTATIL RC 3002 G2,237.0,8843.9
2026-02-23,MAST,1870911,INVERSOR ON GRID 8KW IONS-8K M7,3.0,8723.94
2026-02-23,MAST,4849596,INVERSOR ON GRID 12KW EGT 12000 MAX G2,2.0,8623.92
2026-02-23,MAST,4670008,FECHADURA C/MACAN IFR 7000+,13.0,8606.78
2026-02-23,MAST,4750115,ROTEADOR 5G PRETO GX 3000,8.0,8600.4
2026-02-23,MAST,4760094,SWITCH 24PG/4PGBIC SG 2404POE MAX,11.0,8552.83
2026-02-23,MAST,4663002,AUTOMATIZADOR PORTA 3 BRANCO PD 300,11.0,8419.73
2026-02-23,MAST,4565614,CAMERA VID WIFI FHD IMX C C/MICROSD 32GB,74.0,8331.66
2026-02-23,MAST,4780065,MODEM OPT WIFIBER 121 AC,60.0,8319.6
2026-02-23,MAST,4565516,CAMERA VID WI-FI FHD IME 360 C,63.0,8308.44
2026-02-23,MAST,4565505,CAMERA VID WI-FI FHD IM5+ FC,52.0,8224.32
2026-02-23,MAST,3030390,"BLC OPT CMOS 1/2,8"" VIP 3260 Z IA",33.0,8186.97
2026-02-23,MAST,4820080,"CONVERSOR AUT 12,8V EFM 1220 G2",136.0,8166.8
2026-02-23,MAST,4560074,CAMERA VID WI-FI IM9 + FC,27.0,8137.8
2026-02-23,MAST,4520042,VIDEO PORTEIRO IVR 1010,47.0,8121.13
2026-02-23,MAST,4780128,MODEM OPTICO HG6145D2,60.0,8064.0
2026-02-23,MAST,4750059,ROTEADOR DIG 5GHZ 20DBI - WOM AC MAX,35.0,7990.15
2026-02-23,MAST,4900273,INVERSOR ON-G 40KW EGT 40000 MAX G2 REM,1.0,7926.91
2026-02-23,MAST,4822014,NOBREAK SNB 1500VA BIVOLT,12.0,7920.72
2026-02-23,MAST,4611060,CENTRAL ALRM INCD ENDER CIE 1060,48.0,7879.68
2026-02-23,MAST,4140700,CONVERSOR DIG TV C/GRAV CD 700,194.0,7802.68
2026-02-23,MAST,1889431,PCIM PRINCIPAL DNB 10KVA 220V,6.0,7799.77
2026-02-23,MAST,1890814,PCIM PRINCIPAL/RFID LE 170 HZ100,10.0,7715.64
2026-02-23,MAST,4811016,POWER CONV EST VIDEO BALUN VB 1016 WP,19.0,7435.08
2026-02-23,MAST,1890886,PCIM PRINCIPAL MHDX 1104-C,315.0,7424.41
2026-02-23,MAST,4750090,CONJUNTO ROT 5GHZ 16DBI - WOM 5A MIMO,22.0,7305.1
2026-02-23,MAST,4525008,VIDEO PORTEIRO SMART IVW 3000+,33.0,7265.94
2026-02-23,MAST,1870909,INVERSOR ON GRID 15KW IONS-15K T4-220V,1.0,7236.73
2026-02-23,MAST,4750058,ROTEADOR DIG S/ FIO 5GHZ 16DBI WOM AC,38.0,7228.74
2026-02-23,MAST,1890122,IZY PLAY STICK C/GABINETE,89.0,7094.54
2026-02-23,MAST,1890197,PCIM PRINCIPAL RPD 8 UHF,20.0,7085.6
2026-02-23,MAST,4780160,MODEM OPTICO HG6145D2,47.0,7084.78
2026-02-23,MAST,1950415,MONITOR P/VID WALL MWL 7255,2.0,7052.26
2026-02-23,MAST,4550018,CERCA ELET S/BATERIA ELC 6012,84.0,7043.4
2026-02-23,MAST,2880341,PLACA BASE MONT ROT S/FIO WOM 5A MIMO,69.0,6986.94
2026-02-23,MAST,4860015,BATERIA RECARG LI-ION 48V 100AH EBL 4800,2.0,6908.24
2026-02-23,MAST,4560102,MESA CONTR IP/ANL VTN 2000 G2,8.0,6897.52
2026-02-23,MAST,4565511,CAMERA VID WI-FI FHD IM5 SC,60.0,6823.2
2026-02-23,MAST,1870973,INVERSOR ON G 20KW IONS-20K T4-220V AFCI,1.0,6807.46
2026-02-23,MAST,4580778,GRAVADOR DIG IMHDX 3116 AM,15.0,6772.05
2026-02-23,MAST,4760020,SWITCH 8P FAST ETHRN SF 800 Q+,263.0,6766.99
2026-02-23,MAST,4500043,VIDEO PORTEIRO XPE 3200 PLUS IP,10.0,6719.5
2026-02-23,MAST,4590014,CAMERA VID WI-FI IM6 FC,41.0,6699.4
2026-02-23,MAST,4610029,CENTRAL ALRM INCD END/ANALOG. MA 8000,1.0,6678.74
2026-02-23,MAST,4760107,SWITCH 24P/4P SFP S2328G PA,7.0,6641.81
2026-02-23,MAST,4750148,ROTEADOR EMP WI-FI AP 3000 AX OUTDOOR,17.0,6638.84
2026-02-23,MAST,2880340,PLACA BASE MONT ROT S/FIO WOM 5A,75.0,6621.0
2026-02-23,MAST,4521102,TELEFONE S/FIO C/RML EXT TIS 5010,43.0,6560.94
2026-02-23,MAST,1889881,PCIM PRINCIPAL CD700 V2,195.0,6537.1
2026-02-23,MAST,4565611,CAMERA VID WI-FI FHD IM5 SC C/MSD,51.0,6532.59
2026-02-23,MAST,4822213,NOBREAK ATTIV SEG POWER-BI+,22.0,6527.84
2026-02-23,MAST,2881123,PLACA BASE PORT IPR8010 ME,227.0,6469.5
2026-02-23,MAST,4822006,NOBREAK XNB 1200VA-120V,28.0,6460.72
2026-02-23,MAST,4550014,CERCA ELET S/BATERIA ELC 6012 NET,61.0,6413.54
2026-02-23,MAST,4680312,CONTROLADOR ACESSO SS 3710 UHF,6.0,6381.36
